iso_639_3,language_name,is_macrolanguage,matched_fineweb2,matched_huggingface,matched_commonvoice,num_sources_matched,any_match_via_iso639_2,matched_sources_label
kaa,Kara-Kalpak,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kab,Kabyle,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kal,Kalaallisut,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kam,Kamba (Kenya),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kan,Kannada,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kas,Kashmiri,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kat,Georgian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kaz,Kazakh,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kbd,Kabardian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kdh,Tem,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
khm,Khmer,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kik,Kikuyu,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kin,Kinyarwanda,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kir,Kirghiz,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kjh,Khakas,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kmr,Northern Kurdish,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
koo,Konzo,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kor,Korean,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
kpv,Komi-Zyrian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
krc,Karachay-Balkar,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ksf,Bafia,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
laj,Lango (Uganda),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
lao,Lao,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
leu,Kara (Papua New Guinea),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
lij,Ligurian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
lin,Lingala,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
lit,Lithuanian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
lld,Ladin,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ltg,Latgalian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ltz,Luxembourgish,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
lua,Luba-Lulua,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
lug,Ganda,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
luo,Luo (Kenya and Tanzania),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mai,Maithili,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mal,Malayalam,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mar,Marathi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mau,Huautla Mazatec,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mbf,Baba Malay,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mcf,Matsés,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mcn,Masana,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mdf,Moksha,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mfe,Morisyen,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mhr,Eastern Mari,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mkd,Macedonian,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mlt,Maltese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mni,Manipuri,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mnw,Mon,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mos,Mossi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mrj,Western Mari,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mse,Musey,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mua,Mundang,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mug,Musgu,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mui,Musi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
mya,Burmese,False,True,True,True,3,True,FineWeb-2+HuggingFace+CommonVoice
myv,Erzya,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nbl,South Ndebele,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
ncx,Central Puebla Nahuatl,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nde,North Ndebele,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
new,Nepal Bhasa,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nhe,Eastern Huasteca Nahuatl,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nhi,Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nia,Nias,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nld,Dutch,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nmz,Nawdm,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nnh,Ngiemboon,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nno,Norwegian Nynorsk,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nob,Norwegian Bokmål,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nqo,N'Ko,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nso,Pedi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nya,Chichewa,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nyn,Nyankole,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
nyu,Nyungwe,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
oci,Occitan (post 1500),False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
oss,Iron Ossetic,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pan,Panjabi,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pap,Papiamento,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pau,Palauan,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pcd,Picard,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pcm,Nigerian Pidgin,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pne,Western Penan,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pol,Polish,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
por,Portuguese,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
prq,Ashéninka Perené,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
pwn,Paiwan,False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
quc,K'iche',False,True,True,True,3,False,FineWeb-2+HuggingFace+CommonVoice
