subset,code,reason
dhg_Latn,dhg,not_in_cc_data
dhm_Latn,dhm,not_in_cc_data
dhv_Latn,dhv,not_in_cc_data
did_Latn,did,not_in_cc_data
dig_Latn,dig,not_in_cc_data
dik_Latn,dik,not_in_cc_data
diq_Latn,diq,not_in_cc_data
dis_Latn,dis,not_in_cc_data
diu_Latn,diu,not_in_cc_data
dje_Latn,dje,not_in_cc_data
djk_Latn,djk,not_in_cc_data
djr_Latn,djr,not_in_cc_data
dks_Latn,dks,not_in_cc_data
dln_Latn,dln,not_in_cc_data
dng_Cyrl,dng,not_in_cc_data
dnj_Latn,dnj,not_in_cc_data
dnw_Latn,dnw,not_in_cc_data
dob_Latn,dob,not_in_cc_data
doi_Deva,doi,not_in_cc_data
dop_Latn,dop,not_in_cc_data
dos_Latn,dos,not_in_cc_data
dow_Latn,dow,not_in_cc_data
drg_Latn,drg,not_in_cc_data
dru_Latn,dru,not_in_cc_data
dsb_Latn,dsb,not_in_cc_data
dtb_Latn,dtb,not_in_cc_data
dtp_Latn,dtp,not_in_cc_data
dts_Latn,dts,not_in_cc_data
dty_Deva,dty,not_in_cc_data
dua_Latn,dua,not_in_cc_data
due_Latn,due,not_in_cc_data
dug_Latn,dug,not_in_cc_data
duo_Latn,duo,not_in_cc_data
dur_Latn,dur,not_in_cc_data
dwr_Latn,dwr,not_in_cc_data
dww_Latn,dww,not_in_cc_data
dyi_Latn,dyi,not_in_cc_data
dyo_Latn,dyo,not_in_cc_data
dyu_Latn,dyu,not_in_cc_data
ebk_Latn,ebk,not_in_cc_data
efi_Latn,efi,not_in_cc_data
eka_Latn,eka,not_in_cc_data
ekk_Latn,ekk,not_in_cc_data
eko_Latn,eko,not_in_cc_data
emi_Latn,emi,not_in_cc_data
eml_Latn,eml,not_in_cc_data
emp_Latn,emp,not_in_cc_data
enb_Latn,enb,not_in_cc_data
enl_Latn,enl,not_in_cc_data
enm_Latn,enm,not_in_cc_data
enq_Latn,enq,not_in_cc_data
enx_Latn,enx,not_in_cc_data
eri_Latn,eri,not_in_cc_data
ese_Latn,ese,not_in_cc_data
esi_Latn,esi,not_in_cc_data
esk_Latn,esk,not_in_cc_data
ess_Latn,ess,not_in_cc_data
esu_Latn,esu,not_in_cc_data
eto_Latn,eto,not_in_cc_data
etr_Latn,etr,not_in_cc_data
etu_Latn,etu,not_in_cc_data
eve_Cyrl,eve,not_in_cc_data
ewe_Latn,ewe,not_in_cc_data
ewo_Latn,ewo,not_in_cc_data
ext_Latn,ext,not_in_cc_data
eza_Latn,eza,not_in_cc_data
faa_Latn,faa,not_in_cc_data
fad_Latn,fad,not_in_cc_data
fai_Latn,fai,not_in_cc_data
fal_Latn,fal,not_in_cc_data
fan_Latn,fan,not_in_cc_data
far_Latn,far,not_in_cc_data
fat_Latn,fat,not_in_cc_data
ffm_Latn,ffm,not_in_cc_data
fil_Latn,fil,not_in_cc_data
fit_Latn,fit,not_in_cc_data
fkv_Latn,fkv,not_in_cc_data
fmu_Deva,fmu,not_in_cc_data
fon_Latn,fon,not_in_cc_data
for_Latn,for,not_in_cc_data
frd_Latn,frd,not_in_cc_data
fro_Latn,fro,not_in_cc_data
frp_Latn,frp,not_in_cc_data
frr_Latn,frr,not_in_cc_data
fub_Latn,fub,not_in_cc_data
fud_Latn,fud,not_in_cc_data
fue_Latn,fue,not_in_cc_data
fuf_Latn,fuf,not_in_cc_data
fuh_Latn,fuh,not_in_cc_data
fuq_Latn,fuq,not_in_cc_data
fur_Latn,fur,not_in_cc_data
fuv_Arab,fuv,not_in_cc_data
fuv_Latn,fuv,not_in_cc_data
gaa_Latn,gaa,not_in_cc_data
gag_Cyrl,gag,not_in_cc_data
gag_Latn,gag,not_in_cc_data
gah_Latn,gah,not_in_cc_data
gai_Latn,gai,not_in_cc_data
gam_Latn,gam,not_in_cc_data
gaw_Latn,gaw,not_in_cc_data
gaz_Latn,gaz,not_in_cc_data
gbi_Latn,gbi,not_in_cc_data
gbo_Latn,gbo,not_in_cc_data
gbr_Latn,gbr,not_in_cc_data
gcf_Latn,gcf,not_in_cc_data
gcr_Latn,gcr,not_in_cc_data
gde_Latn,gde,not_in_cc_data
gdg_Latn,gdg,not_in_cc_data
gdn_Latn,gdn,not_in_cc_data
gdr_Latn,gdr,not_in_cc_data
geb_Latn,geb,not_in_cc_data
gej_Latn,gej,not_in_cc_data
gfk_Latn,gfk,not_in_cc_data
ghs_Latn,ghs,not_in_cc_data
