dataset_id,parquet_convertible,status_code,partial,partial_split_names_seen,num_shards
hezarai/parsynth-ocr-200k,True,200,False,,3.0
rasoul-nikbakht/TSpec-LLM,,401,,,
LDJnr/Capybara,True,200,False,,1.0
osv5m/osv5m,False,501,,,
ikala/tmmluplus,True,200,False,,198.0
DL3DV/DL3DV-10K-Sample,,401,,,
GAIR/MathPile,,401,,,
Silly-Machine/TuPyE-Dataset,True,200,False,,4.0
wltjr1007/DomainNet,True,200,False,,4.0
HuggingFaceM4/WebSight,True,200,False,,809.0
VatsaDev/worldbuild,True,200,False,,1.0
Tele-AI/TeleChat-PTD,False,501,,,
Undi95/toxic-dpo-v0.1-NoWarning,True,200,False,,1.0
jetaudio/chinese_web_novels,,401,,,
ChristophSchuhmann/Mega-Fast-KNN-Captioning,True,200,False,,4.0
evalplus/mbppplus,True,200,False,,1.0
bai-roleplay/evol-character-entire,,401,,,
mythicinfinity/libritts_r,True,200,False,,394.0
classla/ParlaSpeech-HR,True,200,False,,326.0
Iceclear/AADB,True,200,False,,5.0
numind/NuNER,True,200,False,,3.0
wesley7137/shopping_csv,True,200,False,,1.0
akashsalmuthe/ind_passport,True,200,False,,1.0
Zihan1004/FNSPID,True,200,False,,0.0
sxiong/Power-equipment-image-dataset,True,200,True,,7.0
bigcode/the-stack-v2-dedup,,401,,,
gayane/BBBP,True,200,False,,3.0
free-law/Caselaw_Access_Project,,401,,,
ethux/Dutch-GOV-Law-wetten.overheid.nl,True,200,False,,2.0
yesidobyte/nsfw1024,True,200,False,,7.0
SALT-NLP/Design2Code,True,200,False,,1.0
ai4bharat/sangraha,True,200,True,,1950.0
wesley7137/shoppingai,True,200,False,,1.0
RMT-team/babilong,True,200,False,,250.0
cg1177/activitynet_internvideo2_6b_w16_s8,,500,,,
cg1177/thumos14_internvideo2_6b_w16_s4,,500,,,
visheratin/google_landmarks_photos,True,200,False,,1.0
deccan-ai/insuranceQA-v2,True,200,False,,3.0
solarbench/SKIPPD,True,200,False,,12.0
cassiekang/cub200_dataset,True,200,False,,2.0
fsicoli/common_voice_17_0,False,501,,,
unicamp-dl/quati,False,501,,,
KisanVaani/agriculture-qa-english-only,True,200,False,,1.0
Anthropic/persuasion,True,200,False,,1.0
JailbreakV-28K/JailBreakV-28k,True,200,False,,3.0
rth/sroie-2019-v2,True,200,False,,2.0
xcodemind/webcode2m,True,200,False,,2065.0
sujet-ai/Sujet-Finance-Instruct-177k,True,200,False,,1.0
Duino/uncensored-prompts,True,200,False,,1.0
openbmb/UltraInteract_sft,True,200,False,,1.0
BitTranslate/Bittensor_subnet_19_06_04_24,True,200,False,,1.0
nilq/baby-python-and-lua,True,200,False,,10.0
communityai/Open-Orca___1million-gpt-4-300k,True,200,False,,2.0
ibm-aimc/bookcorpus-wikitext-ccnews-tinystories-chunked,True,200,False,,28.0
microsoft/MeetingBank-LLMCompressed,True,200,False,,1.0
microsoft/MeetingBank-QA-Summary,True,200,False,,1.0
alvanlii/devpost-hackathon-projects,True,200,False,,1.0
PleIAs/YouTube-Commons,,500,,,
lytang/LLM-AggreFact,,401,,,
opennyaiorg/InLegalNER,,401,,,
MBZUAI/ClArTTS,True,200,False,,27.0
djsamseng/khmer-speech-large-english-google-translations,True,200,False,,6.0
abhinand/Tamil-ARIVU,,401,,,
bigcode/self-oss-instruct-sc2-exec-filter-50k,True,200,False,,1.0
vikhyatk/coco-val,True,200,False,,1.0
graycatHCO3/CodeAlpaca-20K-Python,True,200,False,,2.0
sentence-transformers/natural-questions,True,200,False,,1.0
